State,County,median_household_income,total_population
Idaho,Clearwater County,42413.0,8735.0
Idaho,Elmore County,45656.0,27043.0
Idaho,Gem County,53720.0,17771.0
Idaho,Jefferson County,65577.0,29238.0
Idaho,Kootenai County,60903.0,161676.0
Idaho,Lewis County,42370.0,3850.0
Idaho,Minidoka County,53011.0,20817.0
Idaho,Oneida County,54484.0,4429.0
Idaho,Power County,51014.0,7635.0
Idaho,Twin Falls County,53363.0,86198.0
Illinois,Alexander County,34709.0,6011.0
Illinois,Boone County,70396.0,53293.0
Illinois,Brown County,60694.0,6599.0
Illinois,Calhoun County,66602.0,4782.0
Illinois,Carroll County,52813.0,14398.0
Illinois,Champaign County,53936.0,210006.0
Illinois,Clark County,59481.0,15602.0
Illinois,Clay County,52167.0,13217.0
Illinois,Coles County,46411.0,51065.0
Illinois,Cook County,67886.0,5169517.0
Illinois,Cumberland County,59271.0,10787.0
Illinois,DeKalb County,62353.0,104588.0
Illinois,Douglas County,59620.0,19551.0
Illinois,Edgar County,48543.0,17272.0
Illinois,Edwards County,53801.0,6431.0
Illinois,Fayette County,45634.0,21418.0
Illinois,Ford County,50582.0,13155.0
Illinois,Fulton County,52243.0,34654.0
Illinois,Gallatin County,43092.0,4983.0
Illinois,Grundy County,75767.0,50798.0
Illinois,Hancock County,55818.0,17820.0
Illinois,Hardin County,50847.0,3890.0
Illinois,Henry County,60000.0,49032.0
Illinois,Iroquois County,54445.0,27437.0
Illinois,Jasper County,55911.0,9547.0
Illinois,Jefferson County,51662.0,37774.0
Illinois,Jersey County,67845.0,21776.0
Illinois,Jo Daviess County,59223.0,21429.0
Illinois,Johnson County,55363.0,12391.0
Illinois,Kane County,83374.0,531756.0
Illinois,Kankakee County,59370.0,109924.0
Illinois,Kendall County,96854.0,127583.0
Illinois,Knox County,44464.0,50052.0
Illinois,Lake County,92654.0,699682.0
Illinois,LaSalle County,60069.0,108998.0
Illinois,Lawrence County,53087.0,15830.0
Illinois,Lee County,59986.0,34204.0
Illinois,Livingston County,58676.0,35757.0
Illinois,Logan County,58122.0,28818.0
Illinois,McDonough County,43591.0,30107.0
Illinois,McHenry County,90014.0,307291.0
Illinois,McLean County,68037.0,172164.0
Illinois,Macon County,53725.0,104688.0
Illinois,Macoupin County,56264.0,45243.0
Illinois,Madison County,64045.0,264403.0
Illinois,Marshall County,57303.0,11562.0
Illinois,Mason County,50883.0,13486.0
Illinois,Menard County,77550.0,12261.0
Illinois,Mercer County,57182.0,15503.0
Illinois,Montgomery County,54886.0,28598.0
Illinois,Morgan County,53002.0,34012.0
Illinois,Ogle County,63643.0,50793.0
Illinois,Perry County,51616.0,21092.0
Illinois,Piatt County,73668.0,16412.0
Illinois,Pope County,43140.0,4177.0
Illinois,Pulaski County,37308.0,5414.0
Illinois,Randolph County,55319.0,31973.0
Illinois,Richland County,55032.0,15677.0
Illinois,St. Clair County,57473.0,261186.0
Illinois,Sangamon County,61743.0,195963.0
Illinois,Schuyler County,51376.0,6897.0
Illinois,Shelby County,59134.0,21623.0
Illinois,Stark County,53828.0,5393.0
Illinois,Tazewell County,66220.0,132524.0
Illinois,Union County,51655.0,16829.0
